state,tier,optimal_action,action_cost,allowed_actions
S0,0,Strong,123.102698,"['Strong', 'Block']"
S0,1,Escrow,73.861619,"['Strong', 'Escrow']"
S0,2,Stale,12.31027,"['Strong', 'CRDT', 'Stale']"
S0,3,Stale,12.31027,"['Strong', 'CRDT', 'Stale', 'Escrow']"
S1,0,Strong,232.508083,"['Strong', 'Block']"
S1,1,Escrow,139.50485,"['Strong', 'Escrow']"
S1,2,Stale,23.250808,"['Strong', 'CRDT', 'Stale']"
S1,3,Stale,23.250808,"['Strong', 'CRDT', 'Stale', 'Escrow']"
S2,0,Strong,421.321833,"['Strong', 'Block']"
S2,1,Escrow,252.7931,"['Strong', 'Escrow']"
S2,2,Stale,42.132183,"['Strong', 'CRDT', 'Stale']"
S2,3,Stale,42.132183,"['Strong', 'CRDT', 'Stale', 'Escrow']"
S3,0,Strong,763.465876,"['Strong', 'Block']"
S3,1,Escrow,458.079525,"['Strong', 'Escrow']"
S3,2,CRDT,152.693175,"['Strong', 'CRDT']"
S3,3,CRDT,152.693175,"['Strong', 'CRDT', 'Escrow']"
S4,0,Strong,282.879213,"['Strong', 'Block']"
S4,1,Escrow,169.727528,"['Strong', 'Escrow']"
S4,2,Stale,28.287921,"['Strong', 'CRDT', 'Stale']"
S4,3,Stale,28.287921,"['Strong', 'CRDT', 'Stale', 'Escrow']"
